#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-14T19:27:36 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-14T19:27:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-order=I&-c.r=  2&-c.geom=r&-out.src=J/A+A/685/A106/emain&-source=J/A+A/685/A106/emain&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Exp&-out=zBest&-out=CR500&-out=CTS500&-out=F500&-out=L500&-out=KT&-out=Mgas500&-out=YX500&-out=M500&-out=Fgas500&-out=R500&-out.max=1000&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36850106
#Name: J/A+A/685/A106
#Title: eRASS. Galaxy clusters and groups in WGH (Bulbul+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	creator=Bulbul E.	    First author or institution
#INFO	cites=bibcode:2024A&A...685A.106B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/685/A106	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36850106	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_685_A106_emain:
#Name: J/A+A/685/A106/emain
#Title: Primary galaxy clusters and groups catalog
#Column	Name	(A23)	Source name, 1eRASS JHHMMSS.s+DDMMSS	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F15.11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Exp	(F6.1)	Average exposure	[ucd=time.expo]
#Column	zBest	(F7.4)	Best available redshift	[ucd=src.redshift]
#Column	CR500	(F8.3)	0.2-2.3keV count rate within R500	[ucd=phot.count;em.X-ray]
#Column	CTS500	(F8.1)	0.2-2.3keV counts within R500	[ucd=phot.count;em.X-ray]
#Column	F500	(F10.3)	? 0.2-2.3keV flux within R500	[ucd=phot.flux;em.X-ray]
#Column	L500	(F9.3)	? 0.2-2.3keV luminosity within R500	[ucd=phys.luminosity;em.X-ray]
#Column	KT	(F6.2)	? Temperature measured by MBProj2D	[ucd=phys.temperature]
#Column	Mgas500	(F7.2)	? Calibrated cluster gas mass within R500	[ucd=phys.mass]
#Column	YX500	(F8.2)	? The mass proxy within R500	[ucd=phys.mass]
#Column	M500	(F7.2)	? CLuster total mass M500 from eROCOP	[ucd=phys.mass]
#Column	Fgas500	(F6.3)	? Cluster gas mass fraction within R500	[ucd=phys.mass]
#Column	R500	(I5)	? Overdensity radius R500 from eROCOP	[ucd=phys.size.radius]
Name;RAJ2000;DEJ2000;Exp;zBest;CR500;CTS500;F500;L500;KT;Mgas500;YX500;M500;Fgas500;R500
1eRASS J001922.8-533155;004.84505501315;-53.53216703571; 130.9; 0.1129;   0.673;    88.1;    62.708;   21.712;      ;  80.37;    0.00;  13.84; 0.058;  759
1eRASS J001939.5-804858;004.91461748397;-80.81637281583; 184.1; 0.0558;   0.958;   176.4;    78.555;    7.684;  1.02;  35.35;   35.80;   8.52; 0.041;  657
1eRASS J001951.6-501346;004.96512679443;-50.22950581968; 111.1; 0.1552;   0.304;    33.8;    29.271;   18.917;      ;  66.42;    0.00;  10.38; 0.063;  679
1eRASS J002000.4-840455;005.00172236930;-84.08203533474; 190.4; 0.0600;   0.354;    67.4;          ;         ;      ;       ;        ;       ;      ;
1eRASS J002008.8-415810;005.03691832826;-41.96953778660; 100.7; 0.1488;   0.968;    97.5;    83.568;   52.986;  1.15; 172.73;  194.25;  25.19; 0.070;  915
1eRASS J002035.1-491245;005.14639124273;-49.21257188331; 110.4; 0.0714;   1.013;   111.8;    90.776;   12.316;  1.23;  44.70;   55.70;  10.28; 0.043;  696
1eRASS J002139.4-840236;005.41431472738;-84.04342170569; 190.2; 0.4495;   0.365;    69.5;    34.193;  302.700;      ; 509.77;    0.00;  53.79; 0.094; 1054
1eRASS J002158.2-701059;005.49285395060;-70.18319124178; 174.3; 0.7329;   0.075;    13.1;     6.849;  169.203;      ;  28.12;    0.00;  22.29; 0.018;  702
1eRASS J002159.3-772059;005.49747208272;-77.34973951539; 172.5; 1.1770;   0.032;     5.4;          ;         ;      ;       ;        ;       ;      ;
1eRASS J002210.7-414408;005.54471044680;-41.73579652089;  98.8; 0.3203;   0.554;    54.8;    53.124;  165.922;      ; 415.07;    0.00;  41.72; 0.100; 1017
1eRASS J002223.6-492746;005.59872622369;-49.46282020091; 110.7; 0.0729;   0.123;    13.6;    11.081;    1.568;      ;   2.88;    0.00;   1.88; 0.017;  395
1eRASS J002231.5-514509;005.63151884895;-51.75251884902; 123.7; 0.4293;   0.089;    11.1;     8.389;   53.042;      ;  13.73;    0.00;  14.08; 0.013;  679
1eRASS J002244.4-380645;005.68501991026;-38.11265371484;  95.8; 0.1189;   2.056;   196.9;   198.840;   73.559;      ; 241.18;    0.00;  32.81; 0.074; 1009
1eRASS J002250.7-843352;005.71128924556;-84.56449352392; 191.3; 0.7478;   0.118;    22.7;    11.306;  271.700;      ; 397.75;    0.00;  28.90; 0.136;  761
1eRASS J002256.7-515631;005.73625649825;-51.94200283932; 126.1; 0.2107;   0.245;    30.9;    23.199;   29.260;      ;  87.44;    0.00;  14.19; 0.062;  739
1eRASS J002304.3-514704;005.76798986281;-51.78448589841; 124.7; 0.4241;   0.094;    11.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J002318.3-691155;005.82647852575;-69.19877470425; 174.0; 0.2308;   0.281;    48.9;    26.295;   39.279;      ; 137.90;    0.00;  17.50; 0.075;  787
1eRASS J002322.4-573820;005.84345172586;-57.63904819135; 143.0; 0.1911;   0.194;    27.7;    18.323;   17.540;      ;  33.79;    0.00;   9.00; 0.039;  640
1eRASS J002338.5-722403;005.91063597978;-72.40099628193; 164.4; 0.3000;   1.653;   271.8;   158.070;  515.455;      ; 921.97;    0.00;  88.27; 0.105; 1316
1eRASS J002338.9-354831;005.91211489209;-35.80866914549;  93.4; 0.3215;   0.397;    37.1;    37.293;  111.745;      ; 289.14;    0.00;  31.16; 0.093;  923
1eRASS J002341.8-545041;005.92426349645;-54.84473555486; 133.9; 0.3924;   0.150;    20.1;    14.085;   70.348;      ; 128.85;    0.00;  19.15; 0.061;  764
1eRASS J002419.9-685821;006.08310381200;-68.97256935472; 166.1; 0.5659;   0.089;    14.9;     8.459;   98.692;      ;  11.96;    0.00;  16.58; 0.008;  680
1eRASS J002449.9-364516;006.20823085440;-36.75446421769;  94.2; 0.2218;   0.309;    29.1;    29.041;   42.120;      ;  91.81;    0.00;  16.22; 0.057;  770
1eRASS J002450.2-650451;006.20945079519;-65.08105318613; 149.5; 0.2587;   0.151;    22.6;    14.267;   29.089;  4.25;  51.53;  232.62;  11.35; 0.044;  675
1eRASS J002455.0-675912;006.22952086527;-67.98678228879; 162.9; 0.2368;   0.249;    40.6;    20.085;   39.555;  0.63; 101.31;   57.10;  16.69; 0.055;  773
1eRASS J002508.3-833529;006.28460933415;-83.59143988599; 189.2; 0.7316;   0.201;    38.0;    19.108;  442.233;      ; 333.02;    0.00;  42.29; 0.076;  870
1eRASS J002530.5-644326;006.37726362220;-64.72393596310; 156.3; 0.1035;   0.496;    77.5;    46.817;   13.405;  2.54;  35.86;   99.88;  10.17; 0.033;  687
1eRASS J002531.1-355552;006.37964567146;-35.93117168727;  95.4; 0.6314;   0.048;     4.6;          ;         ;      ;       ;        ;       ;      ;
1eRASS J002534.0-330332;006.39171690147;-33.05899377864;  90.9; 0.0497;   9.611;   874.1;   900.959;   56.227;  2.86; 199.29;  581.96;  28.66; 0.070;  987
1eRASS J002539.9-764603;006.41656825550;-76.76755140011; 169.1; 0.7833;   0.092;    15.5;     8.680;  229.403;      ; 179.88;    0.00;  21.88; 0.079;  684
1eRASS J002552.6-553611;006.46940489926;-55.60318640435; 136.0; 0.2906;   0.327;    44.4;    30.862;   87.060;      ;  82.59;    0.00;  24.25; 0.033;  859
1eRASS J002601.1-413409;006.50496960143;-41.56918131324;  88.0; 0.5434;   0.149;    13.1;    13.085;  165.560;  1.22; 172.46;  186.88;  23.40; 0.068;  770
1eRASS J002608.7-361248;006.53661867508;-36.21345975670;  94.3; 0.3410;   0.084;     7.9;          ;         ;      ;       ;        ;       ;      ;
1eRASS J002622.6-574804;006.59416707239;-57.80118945253; 143.4; 0.1877;   0.130;    18.6;    12.488;   12.084;      ;  49.48;    0.00;   6.81; 0.068;  584
1eRASS J002623.6-352447;006.59868093736;-35.41329968920;  94.6; 0.8283;   0.132;    12.5;    11.950;  481.591;  0.95; 156.53;  141.90;  25.69; 0.059;  709
1eRASS J002655.3-671957;006.73067149054;-67.33252983237; 148.7; 0.0679;   0.045;     6.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J002655.5-484733;006.73135278101;-48.79261659843; 110.7; 0.0756;   1.080;   119.5;          ;         ;      ;       ;        ;       ;      ;
1eRASS J002708.9-541021;006.78730910513;-54.17251173551; 132.2; 0.1275;   0.567;    75.0;    51.035;   21.764;      ;  87.38;    0.00;  14.80; 0.059;  772
1eRASS J002710.5-835844;006.79411614316;-83.97912523244; 190.2; 0.5673;   0.348;    66.2;    33.538;  432.359;      ; 249.81;    0.00;  59.14; 0.040; 1038
1eRASS J002721.5-501444;006.83970585438;-50.24578605176; 112.4; 0.1448;   3.269;   367.5;   303.688;  179.493;  2.28; 449.24; 1034.51;  53.96; 0.084; 1181
1eRASS J002727.3-464940;006.86405794368;-46.82798018209; 108.1; 0.3435;   0.336;    36.3;    32.040;  115.983;      ; 281.97;    0.00;  29.43; 0.093;  898
1eRASS J002730.2-471829;006.87619161222;-47.30816611539; 109.2; 0.3414;   0.192;    21.0;    18.089;   67.282;      ;  60.37;    0.00;  16.49; 0.034;  741
1eRASS J002740.2-474240;006.91758179273;-47.71129871343; 109.2; 0.7555;   0.129;    14.1;    12.321;  260.311;      ; 303.06;    0.00;  25.49; 0.108;  728
1eRASS J002744.2-492357;006.93440534964;-49.39923261400; 112.8; 0.1529;   0.453;    51.2;    39.506;   27.084;  1.18; 106.13;  124.99;  14.40; 0.072;  758
1eRASS J002806.4-753805;007.02691670135;-75.63480886785; 161.4; 0.3797;   1.585;   255.8;   149.552;  814.540;  5.35;1347.49; 7819.91; 107.16; 0.124; 1362
1eRASS J002811.8-482558;007.04936183282;-48.43299270114; 110.3; 0.3821;   0.271;    30.0;    25.219;  123.053;      ; 270.32;    0.00;  27.65; 0.096;  867
1eRASS J002835.3-352802;007.14728594862;-35.46738594541;  95.4; 0.1080;   0.139;    13.2;    13.147;    4.012;      ;  11.55;    0.00;   3.72; 0.033;  490
1eRASS J002847.5-653650;007.19829478447;-65.61401740839; 152.1; 0.3829;   0.138;    20.9;    12.606;   66.079;      ; 136.19;    0.00;  17.70; 0.068;  747
1eRASS J002851.7-393405;007.21561902441;-39.56817666346;  96.4; 0.1907;   0.191;    18.4;    17.772;   19.056;      ;  51.17;    0.00;   9.90; 0.047;  660
1eRASS J002903.8-502450;007.26597139784;-50.41407826643; 113.9; 0.1531;   0.703;    80.1;    63.829;   43.552;  1.69;  94.47;  154.04;  20.84; 0.047;  858
1eRASS J002947.9-613435;007.44960483780;-61.57649019752; 155.0; 0.4466;   0.090;    13.9;     8.293;   66.159;      ;  38.90;    0.00;  16.67; 0.026;  714
1eRASS J003019.5-532552;007.58160639938;-53.43126179817; 130.3; 0.0891;   2.358;   307.2;   217.069;   46.625;  1.92; 183.69;  357.75;  25.79; 0.070;  941
1eRASS J003033.5-581905;007.63992742017;-58.31814892905; 145.8; 0.1740;   0.522;    76.2;    48.929;   41.872;      ; 117.48;    0.00;  20.03; 0.057;  840
1eRASS J003126.9-412422;007.86237475373;-41.40614459847;  98.0; 0.1949;   0.428;    41.9;    40.466;   42.576;      ; 154.86;    0.00;  18.56; 0.082;  813
1eRASS J003148.1-385147;007.95061417001;-38.86316986456; 100.0; 0.5275;   0.108;    10.8;    10.214;  100.440;      ;  16.54;    0.00;  19.25; 0.014;  726
1eRASS J003158.9-301459;007.99551327963;-30.24985043916; 112.6; 0.3241;   0.176;    19.9;    16.509;   57.123;      ; 158.02;    0.00;  17.11; 0.084;  755
1eRASS J003226.9-331131;008.11246870637;-33.19207599102;  92.5; 0.2028;   0.270;    25.0;    25.456;   30.157;      ;  91.91;    0.00;  13.06; 0.066;  721
1eRASS J003237.6-770941;008.15705000268;-77.16157860258; 168.7; 0.2285;   0.050;     8.4;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003243.2-781657;008.18002631606;-78.28264575209; 182.8; 0.0596;   1.045;   191.0;    91.506;    9.926;  1.21;  40.33;   51.02;   8.76; 0.047;  663
1eRASS J003249.3-680520;008.20549070467;-68.08913342148; 160.3; 0.2239;   0.305;    48.8;    26.754;   42.203;      ; 117.01;    0.00;  17.34; 0.067;  787
1eRASS J003252.1-553946;008.21737939951;-55.66281319497; 140.3; 0.2073;   0.362;    50.8;    34.504;   41.677;      ; 135.05;    0.00;  18.18; 0.073;  804
1eRASS J003321.4-691513;008.33930477998;-69.25363943975; 162.8; 0.0979;   3.633;   591.5;   335.509;   91.599;  2.51; 198.69;  491.63;  35.74; 0.055; 1046
1eRASS J003328.5-500322;008.36915912624;-50.05621195843; 114.6; 0.1433;   0.913;   104.7;    87.988;   47.984;      ; 177.07;    0.00;  23.14; 0.077;  891
1eRASS J003343.3-823605;008.43080606707;-82.60143406533; 190.5; 0.0529;   0.650;   123.8;    50.587;    4.818;  0.66;  22.55;   15.42;   5.54; 0.041;  570
1eRASS J003354.3-632610;008.47643165675;-63.43637314836; 145.4; 0.5968;   0.240;    35.0;    23.095;  280.415;      ; 386.08;    0.00;  38.43; 0.099;  889
1eRASS J003415.5-891510;008.56489672072;-89.25283547016; 194.0; 0.5278;   0.470;    91.1;    43.383;  563.853;  3.37; 348.49; 1318.38;  70.72; 0.049; 1119
1eRASS J003430.6-521030;008.62785201713;-52.17506539482; 119.7; 0.9963;   0.031;     3.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003433.5-673630;008.63963538576;-67.60861060950; 152.0; 0.0686;   0.498;    75.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003454.4-595020;008.72692792248;-59.83915204931; 150.1; 0.1885;   0.114;    17.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003455.3-341319;008.73055065051;-34.22200001378;  96.0; 0.4024;   0.267;    25.6;    24.554;  134.373;  2.49; 306.47;  763.97;  28.70; 0.105;  870
1eRASS J003508.1-674116;008.78412554369;-67.68804684773; 151.2; 0.0686;   0.508;    76.8;    44.564;    5.688;  1.06;  29.51;   30.80;   6.05; 0.048;  584
1eRASS J003514.3-421407;008.80961797007;-42.23552137788;  99.5; 0.3189;   0.320;    31.8;    26.737;   98.845;  0.89; 220.53;  197.11;  26.16; 0.082;  871
1eRASS J003519.5-545552;008.83136290118;-54.93123902673; 139.8; 0.3064;   0.378;    52.9;    34.104;  114.000;      ; 286.07;    0.00;  30.99; 0.095;  926
1eRASS J003542.8-323737;008.92846049569;-32.62698832075; 118.5; 0.4562;   0.015;     1.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003610.4-332151;009.04371088696;-33.36437458785; 112.6; 0.2188;   0.108;    12.2;     9.990;   14.429;      ;  15.79;    0.00;   6.58; 0.026;  571
1eRASS J003627.4-800833;009.11425163891;-80.14269587395; 188.6; 0.3180;   0.174;    32.9;    16.792;   59.024;      ; 180.11;    0.00;  18.83; 0.093;  781
1eRASS J003642.7-604258;009.17810840821;-60.71635573738; 154.0; 1.0941;   0.118;    18.1;    11.164;  537.515;      ;  89.66;    0.00;  27.69; 0.035;  655
1eRASS J003647.8-624120;009.19919186813;-62.68891332980; 160.5; 0.2015;   0.779;   125.0;    71.110;   92.522;  1.76; 276.70;  511.40;  35.35; 0.078; 1006
1eRASS J003653.2-314443;009.22193026158;-31.74552846647; 118.0; 0.4131;   0.403;    47.5;    37.523;  221.760;  3.10; 292.32;  935.67;  42.43; 0.067;  988
1eRASS J003656.6-485713;009.23605575991;-48.95379151896; 113.9; 0.0733;   0.218;    24.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003713.2-761149;009.30521954464;-76.19716562936; 167.8; 0.4234;   0.239;    40.1;    21.138;  172.545;      ; 365.33;    0.00;  33.24; 0.109;  907
1eRASS J003725.5-800631;009.35631112528;-80.10865291462; 189.0; 0.3169;   0.359;    67.9;    33.183;  125.258;  2.07; 269.40;  651.73;  33.15; 0.080;  944
1eRASS J003725.9-390715;009.35802498067;-39.12094986669;  97.0; 0.0631;   1.802;   174.8;   162.476;   18.552;  1.52;  73.75;  120.23;  14.50; 0.051;  783
1eRASS J003730.5-485638;009.37734775759;-48.94405049465; 112.9; 0.0733;   1.346;   151.9;   128.324;   17.491;  5.95;  74.71;  431.03;  12.38; 0.060;  740
1eRASS J003800.2-385536;009.50123357840;-38.92680257752;  96.8; 0.0634;   0.093;     9.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003802.8-621513;009.51179582768;-62.25385544123; 159.9; 0.2310;   0.972;   155.5;    91.190;  151.113;      ; 417.29;    0.00;  46.00; 0.090; 1086
1eRASS J003804.7-592228;009.51979140513;-59.37469128401; 151.7; 0.2716;   0.028;     4.2;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003831.3-290442;009.63065849810;-29.07853303413; 113.7; 0.1122;   0.507;    57.6;    46.995;   16.351;  1.83;  64.06;  132.71;  10.64; 0.060;  695
1eRASS J003840.4-623111;009.66860046958;-62.51984265575; 160.3; 0.1684;   0.110;    17.6;    10.523;    8.622;      ;   1.61;    0.00;   6.39; 0.003;  575
1eRASS J003847.6-313606;009.69874472018;-31.60185595616; 115.8; 0.2160;   0.790;    91.5;    75.206;  104.432;      ; 296.03;    0.00;  35.24; 0.081;  999
1eRASS J003853.0-524439;009.72091126886;-52.74419766055; 122.0; 0.4122;   0.263;    32.1;    22.908;  151.720;  1.32; 224.93;  285.27;  29.68; 0.070;  877
1eRASS J003902.4-313103;009.76018219803;-31.51760247016; 115.2; 0.2207;   0.050;     5.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003916.6-571420;009.81926256299;-57.23900454327; 145.4; 1.0895;   0.055;     8.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J003936.5-285510;009.90229032123;-28.91970729975; 112.1; 0.1124;   0.339;    38.0;    31.091;   10.793;      ;  40.08;    0.00;   7.00; 0.057;  604
1eRASS J003956.8-554049;009.98670904938;-55.68051490476; 142.8; 0.1537;   0.365;    52.1;    33.220;   22.438;      ;  81.32;    0.00;  12.22; 0.063;  718
1eRASS J003959.5-361843;009.99799100848;-36.31205638903;  95.0; 0.2382;   0.249;    23.6;    23.618;   38.781;      ;  82.26;    0.00;  13.96; 0.057;  728
1eRASS J004007.8-560856;010.03288703157;-56.14910872832; 143.4; 0.0282;   5.383;   771.9;   499.848;    9.817;  1.45;  60.00;   90.41;  10.87; 0.055;  719
1eRASS J004008.3-654736;010.03461565672;-65.79358018714; 170.2; 0.7850;   0.170;    29.0;    16.099;  382.889;      ; 466.47;    0.00;  37.17; 0.125;  816
1eRASS J004018.7-513303;010.07809854065;-51.55106193893; 120.6; 0.1662;   0.148;    17.8;    12.666;   10.542;      ;   9.02;    0.00;   6.54; 0.016;  580
1eRASS J004031.1-585853;010.12962526721;-58.98153180294; 153.0; 0.3806;   0.286;    43.8;    27.062;  122.418;      ; 162.27;    0.00;  29.79; 0.054;  889
1eRASS J004036.8-634659;010.15355605920;-63.78326919312; 154.5; 0.1689;   1.138;   175.9;   104.000;   89.210;  1.90; 184.49;  354.63;  36.26; 0.050; 1026
1eRASS J004049.8-440743;010.20755962287;-44.12872411626; 105.0; 0.3493;   1.175;   123.4;   110.794;  459.415;  6.02; 684.46; 4042.61;  79.92; 0.085; 1250
1eRASS J004056.1-604216;010.23383143992;-60.70457636250; 157.3; 0.3229;   0.075;    11.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004059.2-444515;010.24683310715;-44.75419530812; 101.6; 0.2080;   0.206;    20.9;    17.205;   25.132;      ;  71.86;    0.00;  11.26; 0.061;  685
1eRASS J004104.1-442841;010.26749141787;-44.47824161127; 104.0; 0.3501;   0.988;   102.8;    93.595;  374.823;      ; 797.31;    0.00;  71.41; 0.110; 1204
1eRASS J004112.7-510755;010.30330776336;-51.13203311212; 115.7; 0.5134;   0.152;    17.5;    14.343;  131.760;      ; 107.47;    0.00;  20.70; 0.053;  747
1eRASS J004125.9-610508;010.35829009745;-61.08561724612; 158.5; 0.0644;   0.634;   100.5;    57.919;    6.241;  1.38;  33.70;   47.98;   6.39; 0.052;  596
1eRASS J004143.1-500731;010.42981041666;-50.12545472432; 117.4; 0.3907;   0.084;     9.8;     7.831;   41.038;      ;  29.53;    0.00;  11.94; 0.029;  653
1eRASS J004145.0-672557;010.43767360197;-67.43267236014; 159.8; 0.2961;   0.232;    37.0;    21.832;   60.232;      ; 177.40;    0.00;  20.39; 0.084;  809
1eRASS J004149.6-362447;010.45668668018;-36.41318697775; 102.6; 1.1504;   0.060;     6.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004201.1-305136;010.50494050342;-30.86019326025; 117.4; 0.5108;   0.175;    20.6;    16.477;  155.557;      ; 177.93;    0.00;  25.72; 0.067;  804
1eRASS J004206.6-800401;010.52753668840;-80.06700700579; 189.7; 0.7687;   0.039;     7.4;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004207.0-283154;010.52938433159;-28.53184186398; 113.8; 0.1075;   8.299;   944.4;   784.985;  243.338;  3.89; 512.45; 2007.27;  62.85; 0.081; 1258
1eRASS J004219.9-754832;010.58316003860;-75.80895531771; 169.0; 0.2677;   0.116;    19.5;    10.063;   29.425;      ;  18.49;    0.00;  11.58; 0.019;  677
1eRASS J004225.1-332710;010.60459356827;-33.45280014760; 116.5; 0.3107;   0.208;    24.2;    18.404;   56.999;  1.37; 142.10;  204.02;  18.28; 0.072;  776
1eRASS J004226.2-380943;010.60931784276;-38.16195652091;  99.6; 0.2259;   2.028;   202.0;   186.935;  322.024;  2.69; 506.24; 1381.88;  70.94; 0.072; 1257
1eRASS J004254.2-292051;010.72624198298;-29.34764736223; 112.7; 0.2412;   0.128;    14.4;    11.483;   21.775;  1.56;   8.42;   24.38;   9.05; 0.011;  629
1eRASS J004318.1-352338;010.82582378167;-35.39404658444; 121.9; 0.3811;   0.144;    17.6;    13.332;   68.154;      ; 142.22;    0.00;  19.29; 0.069;  769
1eRASS J004320.6-314053;010.83589418193;-31.68149892052; 118.5; 0.4144;   0.090;    10.7;     8.544;   48.533;      ;  57.63;    0.00;  13.41; 0.049;  672
1eRASS J004326.5-514652;010.86070488220;-51.78134839663; 120.2; 0.5542;   0.179;    21.5;    16.725;  191.322;      ; 232.20;    0.00;  27.47; 0.075;  808
1eRASS J004332.8-704202;010.88677455984;-70.70076831186; 183.4; 0.2243;   0.260;    47.6;    23.164;   41.531;      ; 132.28;    0.00;  17.42; 0.074;  788
1eRASS J004400.4-393614;011.00168997949;-39.60407093829; 101.8; 0.6948;   0.021;     2.2;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004410.6-295424;011.04416773399;-29.90693846825; 113.3; 0.1792;   0.135;    15.3;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004453.0-331150;011.22109152497;-33.19745988555; 119.1; 0.3194;   0.230;    27.4;    21.134;   75.452;  2.97;  66.69;  234.72;  19.01; 0.036;  783
1eRASS J004518.3-292348;011.32653813187;-29.39671720237; 113.4; 0.2579;   0.361;    40.9;    32.458;   71.714;  1.30; 185.07;  251.81;  22.21; 0.078;  844
1eRASS J004538.9-684952;011.41241938455;-68.83135827809; 164.7; 0.1727;   1.469;   241.9;   130.858;  121.127;  1.50; 328.20;  510.53;  43.44; 0.075; 1088
1eRASS J004549.5-544211;011.45656760111;-54.70315094254; 126.5; 0.1442;   0.172;    21.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004550.4-633456;011.46002312646;-63.58249732191; 167.1; 0.0868;   2.226;   372.0;   205.892;   41.978;  2.16; 179.50;  391.11;  24.90; 0.072;  930
1eRASS J004556.6-755153;011.48584958041;-75.86491931735; 169.4; 0.3350;   0.253;    42.8;    24.165;   96.618;      ; 220.36;    0.00;  26.60; 0.081;  871
1eRASS J004557.0-623621;011.48779142761;-62.60599515831; 163.6; 0.5462;   0.122;    20.0;    11.585;  121.662;      ; 212.73;    0.00;  21.11; 0.098;  743
1eRASS J004612.0-564341;011.55040561811;-56.72826707598; 146.3; 0.2707;   0.166;    24.4;    15.943;   35.396;      ;  69.66;    0.00;  13.06; 0.053;  704
1eRASS J004621.6-391157;011.59037957262;-39.19939119819;  98.2; 0.5881;   0.477;    46.8;    45.200;  574.542;      ; 846.34;    0.00;  63.97; 0.130; 1057
1eRASS J004631.3-553657;011.63044200395;-55.61599438523; 131.0; 0.1656;   0.433;    56.7;    41.318;   31.534;      ; 120.22;    0.00;  15.34; 0.078;  771
1eRASS J004643.1-544434;011.67977585116;-54.74290569035; 126.8; 0.0907;   1.086;   137.7;   104.137;   22.449;      ; 109.32;    0.00;  14.79; 0.074;  781
1eRASS J004643.7-300520;011.68212385846;-30.08912554320; 117.1; 0.2700;   0.333;    39.0;    30.932;   71.545;      ; 138.79;    0.00;  22.46; 0.059;  843
1eRASS J004653.7-620234;011.72404590379;-62.04298413510; 162.8; 0.5311;   0.210;    34.1;    19.697;  200.559;      ; 363.93;    0.00;  34.65; 0.104;  881
1eRASS J004700.1-452107;011.75070673118;-45.35217604039; 109.8; 0.4489;   0.114;    12.5;    10.158;   78.381;  1.06;  40.99;   64.28;  16.66; 0.026;  713
1eRASS J004716.7-811142;011.81971454963;-81.19501762176; 193.9; 0.0698;   0.699;   135.5;    57.905;    9.001;  1.10;  17.99;   20.22;   9.15; 0.020;  670
1eRASS J004725.8-590519;011.85757124696;-59.08863548417; 153.7; 0.4152;   0.151;    23.2;    14.376;   80.018;      ; 175.49;    0.00;  20.68; 0.082;  777
1eRASS J004727.1-481419;011.86322425914;-48.23886307156; 108.9; 0.0499;   1.058;   115.3;    99.153;    6.711;      ;  30.03;    0.00;   7.15; 0.041;  621
1eRASS J004727.5-502742;011.86499798170;-50.46175207455; 117.8; 0.8196;   0.047;     5.5;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004728.2-564701;011.86760010259;-56.78374348954; 148.2; 0.2824;   0.210;    31.2;    19.103;   50.502;  1.38; 148.34;  234.41;  16.74; 0.088;  761
1eRASS J004750.4-702013;011.96004814802;-70.33711700693; 181.5; 0.5160;   0.096;    17.4;     8.557;  102.355;      ;  19.59;    0.00;  23.61; 0.011;  780
1eRASS J004750.6-323205;011.96102935308;-32.53476093941; 120.1; 1.1564;   0.033;     4.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004754.4-641051;011.97682402694;-64.18107956078; 165.3; 0.0872;   0.135;    22.2;    12.801;    2.588;      ;   4.66;    0.00;   2.85; 0.017;  452
